TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
TC-RBC-FP-POS-001,Manual,Verify RBC Floorplan availability for applicable policy line,Validate that RBC Floorplan is displayed after the configured policy line is selected,"1. Open policy setup; 2. Select the applicable policy line [TBD]; 3. Open coverage options","1. Policy setup opens; 2. The applicable policy line is selected; 3. RBC Floorplan is visible and available for selection",RBC Floorplan/Availability,Todo,Policy Setup,RBC Floorplan,High,Positive
TC-RBC-FP-POS-002,Manual,Select RBC Floorplan coverage,Validate that the user can select the RBC Floorplan option,"1. Select the applicable policy line [TBD]; 2. Open coverage options; 3. Select RBC Floorplan","RBC Floorplan becomes selected and the configuration area is available",RBC Floorplan/Configuration,Todo,Policy Setup,RBC Floorplan,High,Positive
TC-RBC-FP-POS-003,Manual,Enter valid floorplan details,Validate that all configured required floorplan fields accept valid values,"1. Select RBC Floorplan; 2. Enter valid values in every required floorplan field [TBD]; 3. Move focus out of each field","Each field accepts the valid value and no validation error is displayed",RBC Floorplan/Configuration,Todo,Policy Setup,RBC Floorplan,High,Positive
TC-RBC-FP-POS-004,Manual,Proceed with valid RBC Floorplan configuration,Validate that a completed valid configuration allows the policy workflow to continue,"1. Select RBC Floorplan; 2. Complete all required fields with valid data; 3. Click Continue or Next","The system validates the configuration and allows the user to proceed",RBC Floorplan/Validation,Todo,Policy Setup,RBC Floorplan,Critical,Positive
TC-RBC-FP-POS-005,Manual,Save selected RBC Floorplan details,Validate that valid RBC Floorplan data is saved during policy setup,"1. Select RBC Floorplan; 2. Enter valid required details; 3. Click Save or Continue; 4. Return to the RBC Floorplan section","The RBC Floorplan selection and entered details remain saved",RBC Floorplan/Save,Todo,Policy Setup,RBC Floorplan,High,Positive
TC-RBC-FP-POS-006,Manual,Display RBC Floorplan details in policy summary,Validate that saved RBC Floorplan information appears accurately in the policy summary,"1. Complete and save a valid RBC Floorplan configuration; 2. Open the policy summary","The summary displays RBC Floorplan as selected and shows the saved details accurately",RBC Floorplan/Summary,Todo,Policy Summary,RBC Floorplan,High,Positive
TC-RBC-FP-POS-007,Manual,Update saved RBC Floorplan details,Validate that the user can modify and save an existing configuration,"1. Open a saved policy with RBC Floorplan; 2. Edit a configurable floorplan field; 3. Save the changes; 4. Open the policy summary","The updated value is saved and the policy summary shows the latest value",RBC Floorplan/Update,Todo,Policy Setup,RBC Floorplan,Medium,Positive
TC-RBC-FP-POS-008,Manual,Retain RBC Floorplan selection while navigating within policy setup,Validate that navigation does not discard a saved valid configuration,"1. Save valid RBC Floorplan details; 2. Navigate to the next policy setup screen; 3. Navigate back to the RBC Floorplan section","RBC Floorplan remains selected and the saved details are displayed",RBC Floorplan/Navigation,Todo,Policy Setup,RBC Floorplan,Medium,Positive
TC-RBC-FP-NEG-001,Manual,Verify RBC Floorplan is unavailable before policy line selection,Validate that the option is not offered before the applicable policy line is selected,"1. Open policy setup; 2. Do not select a policy line; 3. Open or inspect coverage options","RBC Floorplan is unavailable or cannot be selected until the applicable policy line is chosen",RBC Floorplan/Availability,Todo,Policy Setup,RBC Floorplan,High,Negative
TC-RBC-FP-NEG-002,Manual,Verify RBC Floorplan availability is restricted to applicable policy line,Validate that the option is not displayed for a non-applicable policy line,"1. Open policy setup; 2. Select a non-applicable policy line [TBD]; 3. Open coverage options","RBC Floorplan is not available for the non-applicable policy line",RBC Floorplan/Availability,Todo,Policy Setup,RBC Floorplan,High,Negative
TC-RBC-FP-NEG-003,Manual,Attempt to proceed without selecting RBC Floorplan,Validate required selection behavior when the applicable policy line is selected but RBC Floorplan is not selected,"1. Select the applicable policy line; 2. Leave RBC Floorplan unselected; 3. Click Continue or Next","The system prevents progression if RBC Floorplan selection is required and displays the configured validation message",RBC Floorplan/Validation,Todo,Policy Setup,RBC Floorplan,High,Negative
TC-RBC-FP-NEG-004,Manual,Attempt to proceed with a missing required floorplan field,Validate that an empty required field blocks progression,"1. Select RBC Floorplan; 2. Leave one required field [TBD] empty; 3. Complete other required fields; 4. Click Continue or Next","The empty field is identified with a validation message and the workflow does not proceed",RBC Floorplan/Validation,Todo,Policy Setup,RBC Floorplan,Critical,Negative
TC-RBC-FP-NEG-005,Manual,Attempt to proceed with all required floorplan fields empty,Validate that the form rejects a completely empty RBC Floorplan configuration,"1. Select RBC Floorplan; 2. Leave all required floorplan fields empty; 3. Click Continue or Next","Validation messages identify the missing required information and progression is blocked",RBC Floorplan/Validation,Todo,Policy Setup,RBC Floorplan,High,Negative
TC-RBC-FP-NEG-006,Manual,Reject invalid floorplan detail format,Validate that a value not matching the configured field format is rejected,"1. Select RBC Floorplan; 2. Enter an invalid value in a format-constrained field [TBD]; 3. Click Continue or Next","The invalid field displays a validation message and the policy cannot proceed",RBC Floorplan/Validation,Todo,Policy Setup,RBC Floorplan,High,Negative
TC-RBC-FP-NEG-007,Manual,Prevent summary display for unsaved invalid details,Validate that invalid or incomplete data is not presented as a completed policy configuration,"1. Select RBC Floorplan; 2. Enter incomplete or invalid details; 3. Attempt to open or continue to the policy summary","The system blocks completion and does not show the invalid configuration as saved in the summary",RBC Floorplan/Summary,Todo,Policy Summary,RBC Floorplan,High,Negative
TC-RBC-FP-NEG-008,Manual,Cancel RBC Floorplan configuration,Validate that cancelling an unsaved selection does not save the option,"1. Select RBC Floorplan; 2. Enter temporary details; 3. Click Cancel or leave without saving; 4. Reopen the policy section","The unsaved RBC Floorplan selection and temporary details are not persisted",RBC Floorplan/Cancel,Todo,Policy Setup,RBC Floorplan,Medium,Negative
TC-RBC-FP-BND-001,Manual,Submit each required field with its minimum valid value,Validate configured minimum boundaries for all required floorplan fields,"1. Select RBC Floorplan; 2. Enter the minimum valid value for each required field [TBD]; 3. Continue","Each minimum valid value is accepted and the policy can proceed when all other requirements are satisfied",RBC Floorplan/Boundary,Todo,Policy Setup,RBC Floorplan,Medium,Boundary
TC-RBC-FP-BND-002,Manual,Reject each required field below its minimum valid value,Validate configured lower-bound validation for required floorplan fields,"1. Select RBC Floorplan; 2. Enter a value below the minimum for one required field [TBD]; 3. Continue","The out-of-range field is rejected and progression is blocked",RBC Floorplan/Boundary,Todo,Policy Setup,RBC Floorplan,Medium,Boundary
TC-RBC-FP-BND-003,Manual,Submit each required field with its maximum valid value,Validate configured maximum boundaries for all required floorplan fields,"1. Select RBC Floorplan; 2. Enter the maximum valid value for each required field [TBD]; 3. Continue","Each maximum valid value is accepted and the policy can proceed when all other requirements are satisfied",RBC Floorplan/Boundary,Todo,Policy Setup,RBC Floorplan,Medium,Boundary
TC-RBC-FP-BND-004,Manual,Reject each required field above its maximum valid value,Validate configured upper-bound validation for required floorplan fields,"1. Select RBC Floorplan; 2. Enter a value above the maximum for one required field [TBD]; 3. Continue","The out-of-range field is rejected and progression is blocked",RBC Floorplan/Boundary,Todo,Policy Setup,RBC Floorplan,Medium,Boundary
TC-RBC-FP-UI-001,Manual,Verify RBC Floorplan selection state,Validate the visible selected and unselected states of the RBC Floorplan control,"1. Open applicable coverage options; 2. Observe RBC Floorplan before selection; 3. Select RBC Floorplan; 4. Observe the control","The control clearly changes from unselected to selected and the configuration fields become available",RBC Floorplan/UI State,Todo,Policy Setup,RBC Floorplan,Medium,UI_Elements
TC-RBC-FP-UI-002,Manual,Clear RBC Floorplan selection,Validate that the user can remove the selection when the workflow permits it,"1. Select RBC Floorplan; 2. Enter valid details; 3. Clear or unselect RBC Floorplan","The option becomes unselected and dependent configuration fields are cleared or marked inactive according to the configured behavior",RBC Floorplan/UI State,Todo,Policy Setup,RBC Floorplan,Medium,UI_Elements
TC-RBC-FP-UI-003,Manual,Correct validation errors and continue,Validate recovery after invalid required data is corrected,"1. Select RBC Floorplan; 2. Leave a required field empty; 3. Attempt to continue; 4. Enter a valid value; 5. Continue again","The validation error is cleared after correction and the policy proceeds successfully",RBC Floorplan/Error Recovery,Todo,Policy Setup,RBC Floorplan,High,State_Management
TC-RBC-FP-NAV-001,Manual,Return from policy summary to RBC Floorplan configuration,Validate navigation from the summary back to editable RBC Floorplan details,"1. Save valid RBC Floorplan details; 2. Open policy summary; 3. Select the edit link or navigation control for RBC Floorplan","The RBC Floorplan configuration screen opens with the saved values populated",RBC Floorplan/Navigation,Todo,Policy Summary,RBC Floorplan,Medium,Navigation
