TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
TC-CDSPI-MM-POS-001,Manual,Verify CDSPI Medical Malpractice product availability,Validate product availability for an eligible applicant and jurisdiction,"1. Open a new policy transaction; 2. Enter an eligible applicant; 3. Select an eligible jurisdiction [TBD]; 4. Open product selection","The CDSPI Medical Malpractice product is displayed and available for selection",CDSPI Medmal/Product Availability,Todo,Product Model,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-POS-002,Manual,Start eligible CDSPI Medical Malpractice transaction,Validate that an eligible user can start the transaction,"1. Select CDSPI Medical Malpractice; 2. Select an eligible transaction type [TBD]; 3. Click Continue","The Medical Malpractice workflow opens and the required data sections are displayed",CDSPI Medmal/Product Availability,Todo,Policy Setup,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-POS-003,Manual,Enter valid applicant information,Validate acceptance of valid applicant and insured information,"1. Open the CDSPI Medical Malpractice workflow; 2. Enter a valid applicant or insured name; 3. Leave the field","The applicant or insured name is accepted and no validation error is displayed",CDSPI Medmal/Applicant Information,Todo,Policy Setup,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-POS-004,Manual,Enter valid practitioner and practice information,Validate acceptance of valid practitioner type specialty and practice location,"1. Select an eligible practitioner type and specialty [TBD]; 2. Enter a valid practice location; 3. Continue","The practitioner and practice information is accepted and saved",CDSPI Medmal/Risk Information,Todo,Policy Setup,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-POS-005,Manual,Save valid applicant and risk information,Validate that completed applicant and risk information can be saved,"1. Complete all required applicant and risk fields with valid data; 2. Click Save; 3. Reopen the transaction","The transaction is saved and all entered values are retained",CDSPI Medmal/Save,Todo,Policy Setup,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-POS-006,Manual,Select allowed coverage limit,Validate selection of an allowed coverage limit,"1. Complete valid risk information; 2. Open coverage options; 3. Select an allowed coverage limit [TBD]","The selected coverage limit is accepted and displayed in the coverage section",CDSPI Medmal/Coverage Selection,Todo,Coverage,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-POS-007,Manual,Select allowed deductible,Validate selection of an allowed deductible,"1. Complete valid risk information; 2. Open deductible options; 3. Select an allowed deductible [TBD]","The selected deductible is accepted and displayed in the coverage section",CDSPI Medmal/Coverage Selection,Todo,Coverage,CDSPI Medical Malpractice,Medium,Positive
TC-CDSPI-MM-POS-008,Manual,Select permitted endorsement or optional protection,Validate that an allowed optional endorsement can be selected,"1. Complete valid risk information; 2. Open endorsements or optional protections; 3. Select a permitted option [TBD]","The option is selected and any dependent fields or premium changes are displayed according to configuration",CDSPI Medmal/Optional Coverage,Todo,Coverage,CDSPI Medical Malpractice,Medium,Positive
TC-CDSPI-MM-POS-009,Manual,Calculate and display valid quote,Validate premium calculation and display for valid rating inputs,"1. Complete valid applicant risk and coverage information; 2. Click Quote","The system calculates the configured premium and displays applicable charges and total premium",CDSPI Medmal/Rating and Quote,Todo,Rating Engine,CDSPI Medical Malpractice,Critical,Positive
TC-CDSPI-MM-POS-010,Manual,Complete approved policy workflow,Validate save quote bind and issue behavior after all approvals are complete,"1. Complete valid transaction data; 2. Request a quote; 3. Complete required approvals; 4. Bind and issue the policy","The policy is saved quoted bound and issued with the selected coverage and correct policy status",CDSPI Medmal/Policy Completion,Todo,Policy Workflow,CDSPI Medical Malpractice,Critical,Positive
TC-CDSPI-MM-NEG-001,Manual,Hide product for ineligible jurisdiction,Validate product availability when the jurisdiction is not eligible,"1. Start a new transaction; 2. Select a non-eligible jurisdiction [TBD]; 3. Open product selection","CDSPI Medical Malpractice is unavailable or the system displays the configured eligibility message",CDSPI Medmal/Eligibility,Todo,Product Model,CDSPI Medical Malpractice,High,Negative
TC-CDSPI-MM-NEG-002,Manual,Reject missing applicant name,Validate required-field behavior for applicant or insured name,"1. Open an eligible transaction; 2. Leave applicant or insured name empty; 3. Click Continue","A field-level validation message is displayed and progression is blocked",CDSPI Medmal/Validation,Todo,Policy Setup,CDSPI Medical Malpractice,High,Negative
TC-CDSPI-MM-NEG-003,Manual,Reject missing practitioner specialty,Validate required-field behavior for practitioner type or specialty,"1. Enter valid applicant information; 2. Leave practitioner type or specialty empty; 3. Click Continue","The missing field is identified with a validation message and progression is blocked",CDSPI Medmal/Validation,Todo,Policy Setup,CDSPI Medical Malpractice,High,Negative
TC-CDSPI-MM-NEG-004,Manual,Reject invalid practice location,Validate location and jurisdiction rules for practice information,"1. Enter applicant and practitioner information; 2. Enter an invalid or unsupported practice location [TBD]; 3. Click Continue","The location is rejected and the configured validation message is displayed",CDSPI Medmal/Eligibility,Todo,Underwriting Rules,CDSPI Medical Malpractice,High,Negative
TC-CDSPI-MM-NEG-005,Manual,Reject missing effective date,Validate required effective-date behavior,"1. Complete all other required fields; 2. Leave effective date empty; 3. Click Quote","The effective-date field displays a validation message and quoting is blocked",CDSPI Medmal/Validation,Todo,Policy Setup,CDSPI Medical Malpractice,High,Negative
